~          val  Atl  Bos  Chi  Dal  Den   LA  Mia  Mpl   NY   SF  Sea  Was
Atlanta      G    0  500  300  400  600 1000  300  400  400 1100 1100  300
Boston       ~  500    0  400  800  900 1300  600  600  100 1400 1300  200
Chicago      ~  300  400    0  400  500  900  600  200  400  900  900  300
Dallas       ~  400  800  400    0  300  600  600  400  700  700  800  600
Denver       ~  600  900  500  300    0  400  900  300  800  500  500  800
LosAngeles   ~ 1000 1300  900  600  400    0 1200  800 1200  200  500 1200
Miami        ~  300  600  600  600  900 1200    0  800  500 1300 1400  500
Minneapolis  ~  400  600  200  400  300  800  800    0  500  800  700  500
NewYork      ~  400  100  400  700  800 1200  500  500    0 1300 1200  100
SanFrancisco ~ 1100 1400  900  700  500  200 1300  800 1300    0  300 1200
Seattle      S 1100 1300  900  800  500  500 1400  700 1200  300    0 1200
Washington   ~  300  200  300  600  800 1200  500  500  100 1200 1200    0
